"","Symbol","Min","Max","Average","Standard_Deviation","Covariance"
"241","CAREERP",93.1,163.25,115.68595959596,13.1994896937913,172.045701539688
"242","CARERATING",887.7,1693.15,1311.4904040404,219.802383880045,48057.7001539177
"243","CASTEXTECH",4.9,16.25,7.98989898989899,2.30667904321338,5.31789304993252
"244","CASTROLIND",193.1,486.75,404.20372983871,35.3771064076384,1234.49404708374
"245","CCCL",2.9,9.9,4.62989898989899,1.36430603657545,1.84164806976649
"246","CCHHL",10.05,19.9,13.1527272727273,1.35184969861871,1.72101453809349
"247","CCL",158.7,363.75,269.374497991968,48.4538537986053,2353.25639083497
"248","CEATLTD",772.6,2003.2,1322.93646464646,353.578078162249,124396.702398417
"249","CEBBCO",10.25,27.75,14.6834343434343,3.16954899204732,10.1090890074837
"250","CELEBRITY",8.35,24.8,13.0962626262626,3.2012129488435,10.1821610436347
"251","CELESTIAL",17.05,38.65,23.8637373737374,3.20474773867455,10.1639307037991
"252","CENTENKA",146.9,446.4,289.523636363636,78.9182989029151,6205.56505005521
"253","CENTEXT",1.65,10.1,4.54181818181818,2.02418792815654,4.14461556864188
"254","CENTRALBK",48.85,120.9,87.1092929292929,13.6740669068987,186.313313601603
"255","CENTUM",471.3,750.9,591.926161616162,65.1682606315299,4196.78280298941
"256","CENTURYPLY",140.1,339.25,227.56404040404,50.1999137037984,2523.11658965158
"257","CENTURYTEX",419.2,1437.4,909.576464646465,280.365684926017,78354.2570235452
"258","CERA",1578.2,3795.6,2534.47131313131,556.38706752785,308998.026569644
"259","CEREBRAINT",12.5,59.8,29.9986868686869,13.8827888118804,193.094830327567
"260","CESC",416.6,1072.55,737.720505050505,199.085082234626,39667.1241516787
"261","CGCL",39.3,385.05,125.203333333333,77.8977216253014,6076.5546791498
"262","CGPOWER",68.5,94.45,82.4534482758621,4.80166925709066,21.4164155855241
"263","CHAMBLFERT",52.2,153.9,90.9255555555556,34.5248446370288,1191.386
"264","CHENNPETRO",144.65,470.65,312.645252525253,89.4391074416917,7973.95980974727
"265","CHOLAFIN",594.95,1305.55,1009.84686868687,178.523949150631,31688.3332108739
"266","CHROMATIC",1.9,5.7,3.00222222222222,0.675035694895993,0.459531039136302
"267","CIGNITITEC",164.15,484.8,363.956363636364,78.5569580805128,6175.22449825175
"268","CIMMCO",59.4,140.3,79.9869696969697,13.6223722314298,182.154502852411
"269","CINELINE",18.05,114.15,65.6986868686869,23.9918452174101,576.919626446653
"270","CINEVISTA",3.3,24.4,7.97235772357724,4.52362750843981,20.6795504445879
"271","CIPLA",464.9,655.35,561.185252525253,36.7779355484417,1333.90968769681
